,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,1,28,9,19,7,19,48,24,1
1,1,37,1,28,29,11,9,12,9,11
2,2,16,2,16,23,16,32,16,6,5
3,3,35,26,35,45,35,37,35,31,11
4,4,47,13,47,50,16,32,29,28,31
5,5,6,37,6,37,35,8,35,42,35
6,6,27,6,16,6,37,35,33,35,44
7,7,19,0,1,35,30,28,45,28,1
8,8,35,26,35,47,39,16,6,27,35
9,9,36,29,39,29,49,16,39,16,28
10,10,29,39,29,15,47,13,28,29,12
11,11,31,28,45,35,33,35,26,35,44
12,12,29,14,9,11,9,14,40,24,29
13,13,1,19,1,0,1,0,19,48,24
14,14,29,10,17,13,30,13,16,32,35
15,15,16,32,16,32,16,6,5,6,5
16,16,28,30,13,47,50,47,39,16,39
17,17,10,17,10,17,13,28,30,28,30
18,18,35,44,35,45,35,32,9,14,29
19,19,1,28,1,37,1,24,29,36,9
20,20,35,26,6,16,15,16,39,47,50
21,21,23,29,35,26,39,16,32,29,49
22,22,28,45,35,42,35,26,35,33,35
23,23,21,23,47,49,16,39,9,28,30
24,24,29,32,29,28,44,35,27,6,27
25,25,1,0,19,46,24,1,37,35,32
26,26,35,44,28,13,47,23,48,24,48
27,27,35,22,35,43,13,26,35,27,35
28,28,43,35,30,28,31,11,29,28,43
29,29,19,46,24,47,13,43,35,27,6
30,30,28,1,19,1,0,19,48,19,0
31,31,28,16,4,47,35,22,35,20,35
32,32,16,6,37,35,33,35,47,23,16
33,33,35,31,35,47,15,47,49,47,39
34,34,35,34,35,44,13,30,13,17,10
35,35,41,35,26,35,33,35,30,13,43
36,36,9,36,29,13,28,16,35,1,35
37,37,6,16,39,16,28,16,23,47,23
38,38,35,26,13,28,30,13,1,37,35
39,39,16,4,16,2,16,50,47,50,47
40,40,24,46,24,29,15,47,50,47,19
41,41,35,22,28,1,13,28,30,13,1
42,42,35,33,35,1,24,47,15,16,39
43,43,35,21,35,16,35,16,15,47,4
44,44,28,13,28,29,11,31,35,21,35
45,45,35,3,35,34,35,44,13,16,35
46,46,19,38,19,1,19,48,23,47,49
47,47,49,47,15,29,39,9,11,9,14
48,48,23,47,35,37,1,25,1,28,30
49,49,29,36,29,32,16,49,29,24,40
50,50,16,39,29,4,29,10,29,13,47
51,0,35,3,35,9,14,9,19,46,35
52,1,28,29,32,16,39,16,32,9,39
53,2,16,6,37,35,31,35,47,50,47
54,3,35,18,35,44,35,37,6,29,23
55,4,29,32,16,32,16,32,35,30,28
56,5,6,27,35,47,35,32,16,39,16
57,6,5,6,27,35,16,23,48,23,48
58,7,19,9,12,9,19,1,28,30,35
59,8,35,37,6,27,35,32,9,36,9
60,9,19,48,24,48,24,48,24,46,35
61,10,29,4,47,49,29,12,9,32,9
62,11,9,32,16,39,29,32,16,23,48
63,12,9,11,9,36,9,32,16,32,9
64,13,16,39,16,39,16,32,16,13,16
65,14,40,14,9,28,30,28,30,28,1
66,15,47,23,48,24,46,24,48,19,48
67,16,32,35,26,6,5,6,16,4,16
68,17,35,37,6,27,35,38,19,48,24
69,18,35,31,28,45,35,31,11,9,35
70,19,46,19,7,19,29,35,32,29,15
71,20,35,34,35,9,39,16,39,16,28
72,21,35,26,35,18,35,44,13,17,35
73,22,28,47,28,9,28,31,35,26,13
74,23,29,39,26,6,16,32,16,39,29
75,24,48,19,9,19,46,24,40,14,40
76,25,1,28,47,28,13,43,13,26,6
77,26,39,16,2,16,4,47,50,16,49
78,27,35,31,35,37,1,25,1,19,1
79,28,1,0,35,34,35,37,35,33,35
80,29,19,46,19,38,19,1,19,46,19
81,30,13,28,47,28,30,28,22,35,21
82,31,11,9,28,31,28,30,35,16,35
83,32,35,30,28,31,28,1,28,30,13
84,33,35,20,35,34,35,1,19,1,24
85,34,35,3,35,18,35,45,35,33,35
86,35,31,35,18,35,31,35,30,28,16
87,36,9,12,9,32,29,36,9,39,9
88,37,6,26,35,44,35,43,28,30,35
89,38,35,9,36,9,39,29,36,29,14
90,39,9,35,18,35,41,35,26,35,45
91,40,24,47,4,16,13,47,50,47,49
92,41,35,16,50,29,28,30,13,28,29
93,42,35,27,6,26,6,5,6,37,35
94,43,28,30,28,30,35,30,35,21,23
95,44,13,30,28,9,39,29,23,29,39
96,45,28,1,19,1,24,1,25,1,19
97,46,19,1,19,46,19,48,24,48,24
98,47,23,21,23,47,23,47,23,16,32
