,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,9,29,1,44,26,5,27,37,27
1,1,31,44,0,25,24,50,4,49,39
2,2,23,13,45,30,13,19,4,11,50
3,3,29,27,29,7,48,7,29,31,30
4,4,19,24,19,24,49,28,10,11,35
5,5,27,0,19,28,49,23,10,35,39
6,6,23,28,0,29,13,32,15,10,39
7,7,46,26,5,27,3,44,37,24,6
8,8,33,27,22,46,45,8,21,30,27
9,9,0,19,4,28,35,33,34,42,20
10,10,49,15,49,4,35,16,20,29,30
11,11,23,39,35,36,39,23,49,14,49
12,12,39,32,37,30,9,1,30,31,27
13,13,35,16,9,1,46,3,31,21,29
14,14,32,28,36,19,32,39,12,4,2
15,15,13,24,35,28,35,32,6,36,10
16,16,9,7,1,33,30,8,21,34,41
17,17,45,38,0,19,0,22,1,9,29
18,18,33,34,32,23,19,35,28,15,14
19,19,50,19,39,14,39,50,10,50,19
20,20,34,31,22,9,26,38,21,26,30
21,21,43,32,23,32,26,27,26,20,32
22,22,3,47,30,17,31,37,33,27,26
23,23,13,29,16,9,48,29,7,47,29
24,24,39,32,27,45,33,32,20,21,47
25,25,19,28,50,24,35,11,28,0,21
26,26,32,39,32,10,36,39,6,50,35
27,27,18,34,32,38,17,30,38,18,1
28,28,15,39,32,27,26,41,3,27,30
29,29,47,30,26,37,27,37,26,16,47
30,30,31,21,31,22,26,16,35,13,28
31,31,27,26,37,33,32,50,2,15,23
32,32,10,32,23,13,28,35,28,32,14
33,33,46,8,33,45,27,29,9,16,37
34,34,37,28,32,28,25,0,19,1,43
35,35,19,32,2,13,39,28,19,12,19
36,36,19,49,4,39,32,39,23,49,50
37,37,41,46,48,9,44,33,18,26,33
38,38,0,1,6,1,43,1,19,36,49
39,39,23,39,36,35,4,12,28,12,19
40,40,29,22,42,30,31,29,17,1,22
41,41,16,9,1,26,30,46,47,32,31
42,42,37,41,33,45,3,44,33,26,34
43,43,34,22,26,27,22,31,3,46,1
44,44,26,37,32,14,28,35,28,23,39
45,45,22,29,1,29,47,26,47,29,43
46,46,3,31,30,31,46,47,0,3,33
47,47,31,20,9,16,29,18,33,45,1
