,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,47,1,19,28,35,19,23,24,36
1,1,30,43,34,44,13,6,35,39,13
2,2,39,13,50,23,2,32,20,18,3
3,3,16,29,1,9,47,30,27,26,31
4,4,39,11,32,36,12,36,11,28,35
5,5,29,37,26,30,33,41,29,47,48
6,6,35,6,36,32,41,8,38,20,45
7,7,29,35,28,50,15,6,50,10,49
8,8,30,37,20,8,33,31,29,43,1
9,9,16,29,22,29,42,37,0,29,27
10,10,6,4,12,19,28,32,12,39,32
11,11,35,13,28,39,49,50,23,39,2
12,12,11,32,31,47,1,31,29,1,9
13,13,11,28,35,16,29,47,17,37,42
14,14,28,13,39,36,12,32,2,32,2
15,15,39,11,39,49,4,28,29,9,37
16,16,1,0,28,10,28,35,14,11,6
17,17,21,17,27,29,27,41,9,0,28
18,18,38,1,45,1,30,43,31,9,31
19,19,35,36,19,32,39,15,32,39,50
20,20,30,29,16,26,33,41,17,47,7
21,21,26,16,21,34,45,32,44,22,33
22,22,46,29,5,29,16,29,46,33,34
23,23,19,23,28,35,49,39,4,32,6
24,24,36,12,39,6,32,23,12,35,28
25,25,28,35,0,45,16,22,32,39,15
26,26,44,27,16,31,17,41,34,41,32
27,27,33,0,25,35,36,32,28,35,19
28,28,35,24,19,36,14,36,32,28,39
29,29,42,33,8,45,30,1,47,38,33
30,30,37,1,9,29,31,33,29,44,22
31,31,8,16,1,16,21,33,37,31,27
32,32,45,1,26,16,9,29,16,37,21
33,33,34,44,9,16,29,16,35,29,48
34,34,21,47,26,27,1,13,39,28,23
35,35,28,19,49,15,24,39,50,23,19
36,36,49,6,12,15,28,14,12,32,39
37,37,27,16,28,43,1,16,29,16,47
38,38,31,45,13,28,35,28,32,29,16
39,39,36,32,36,35,11,39,11,12,39
40,40,29,16,29,31,38,27,29,45,30
41,41,0,9,16,29,32,28,12,39,6
42,42,27,26,32,6,35,49,28,35,13
43,43,27,38,32,37,8,27,34,27,29
44,44,37,26,16,34,41,34,38,32,15
45,45,29,9,3,33,37,8,27,37,18
46,46,1,30,16,29,48,46,48,1,48
47,47,9,35,32,24,49,39,36,12,39
48,48,29,9,30,21,26,42,31,30,26
49,49,24,19,28,35,6,39,15,23,13
50,50,13,0,19,24,19,24,23,19,24
51,0,19,23,11,36,19,36,11,39,32
52,1,29,1,35,36,39,19,35,23,49
53,2,39,35,6,39,49,39,13,39,12
54,3,29,16,29,0,28,19,23,39,15
55,4,36,49,28,24,35,33,27,31,33
56,5,27,18,26,30,16,30,9,8,44
57,6,35,32,36,15,32,39,28,13,28
58,7,0,26,21,33,26,33,46,47,1
59,8,16,35,16,29,28,23,39,15,50
60,9,29,9,16,30,45,18,31,3,20
61,10,39,15,49,4,15,12,39,32,36
62,11,32,6,49,23,4,23,49,28,32
63,12,10,28,39,28,39,12,39,32,39
64,13,28,24,13,28,39,12,36,35,36
65,14,36,24,28,23,13,19,4,39,13
66,15,23,49,15,39,32,3,38,47,16
67,16,35,19,11,36,32,39,32,36,10
68,17,44,22,30,29,16,26,31,30,41
69,18,26,42,29,21,30,8,44,26,3
70,19,25,28,14,36,39,49,6,15,35
71,20,27,0,33,29,30,1,30,9,8
72,21,43,22,34,37,31,44,18,33,20
73,22,30,47,7,0,7,46,18,43,17
74,23,15,49,36,28,11,35,9,30,32
75,24,13,35,39,12,32,50,35,12,19
76,25,19,32,28,13,39,14,11,12,19
77,26,8,32,23,50,13,32,4,35,32
