,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,1,46,21,16,30,44,22,47,33
1,1,47,43,21,42,32,39,4,39,12
2,2,35,9,44,16,35,33,3,26,27
3,3,22,37,27,0,18,32,39,32,20
4,4,32,41,22,31,32,50,39,11,36
5,5,27,5,37,41,45,20,18,30,26
6,6,4,32,27,5,27,45,16,1,31
7,7,47,16,47,21,47,29,16,35,39
8,8,33,22,0,28,25,13,28,39,11
9,9,16,47,16,31,26,21,37,32,28
10,10,14,39,28,36,12,6,32,11,35
11,11,36,28,12,32,26,30,47,29,16
12,12,32,39,13,35,11,36,32,28,13
13,13,28,17,26,1,18,3,44,37,5
14,14,19,11,14,15,4,6,35,28,17
15,15,19,35,28,14,28,29,9,29,1
16,16,35,0,19,28,11,6,4,23,35
17,17,33,35,32,36,13,43,26,47,16
18,18,32,36,12,28,12,19,0,24,23
19,19,39,32,39,32,23,49,32,35,13
20,20,46,37,8,41,30,20,3,43,47
21,21,20,45,30,26,18,43,37,33,20
22,22,30,33,17,41,22,3,32,35,19
23,23,10,32,39,23,15,32,39,2,32
24,24,23,35,15,32,11,14,10,28,11
25,25,19,12,10,50,32,10,35,28,35
26,26,47,29,40,48,47,1,48,47,16
27,27,16,29,13,35,29,9,47,16,27
28,28,35,13,43,41,27,16,26,0,37
29,29,27,32,26,17,16,29,27,1,31
30,30,44,18,0,28,36,14,11,32,26
31,31,44,29,48,9,37,38,47,9,16
32,32,31,3,33,0,46,32,36,11,14
33,33,42,8,33,16,9,27,32,36,15
34,34,1,35,0,28,39,49,39,13,19
35,35,39,32,6,35,33,32,20,37,19
36,36,28,35,16,29,9,31,37,31,32
37,37,38,37,9,16,35,4,10,49,50
38,38,32,50,15,35,32,19,23,15,32
39,39,32,30,27,29,1,16,26,38,26
40,40,47,16,26,27,29,17,31,26,29
41,41,22,33,35,12,35,28,39,19,35
42,42,38,45,29,31,38,1,30,27,16
43,43,45,16,29,48,47,45,18,34,21
44,44,43,37,47,9,26,38,46,32,23
45,45,47,17,26,29,1,16,29,16,33
46,46,48,29,27,46,0,38,20,8,33
47,47,13,32,49,19,25,13,39,36,35
48,48,7,29,13,15,10,36,39,28,36
49,49,35,10,13,39,49,12,10,32,3
50,50,28,13,28,36,32,19,37,47,46
51,0,29,30,33,43,17,38,30,13,50
52,1,16,26,37,9,37,27,1,27,38
53,2,39,19,23,13,35,13,30,0,42
54,3,26,30,46,32,37,9,16,47,29
55,4,23,49,23,50,4,39,11,39,50
56,5,29,47,1,6,15,32,19,39,14
57,6,28,19,24,39,36,35,13,11,39
58,7,46,29,47,16,47,16,48,1,9
59,8,32,1,20,33,35,32,27,46,8
60,9,33,31,9,16,35,32,36,39,6
61,10,36,14,39,12,36,35,6,11,14
62,11,39,32,39,35,24,14,32,36,28
63,12,32,39,32,12,14,39,23,19,4
64,13,39,36,28,23,15,6,35,36,32
65,14,39,35,14,35,33,34,29,9,35
66,15,49,23,36,39,32,15,32,23,32
67,16,29,35,28,14,4,35,39,36,50
68,17,26,9,45,26,9,13,39,32,23
69,18,33,47,29,1,30,16,28,35,32
70,19,35,6,35,16,29,16,47,9,29
71,20,46,1,44,29,16,29,9,26,33
72,21,16,9,31,22,29,16,27,42,33
73,22,44,45,43,31,3,16,48,9,37
74,23,12,35,28,13,15,32,36,32,35
75,24,37,27,3,22,29,33,26,3,27
76,25,24,19,0,38,33,17,47,31,32
77,26,16,26,34,46,40,29,9,13,11
78,27,5,16,26,16,27,30,13,31,1
79,28,19,35,28,11,14,36,24,23,32
80,29,16,29,18,30,0,35,24,50,39
81,30,1,19,1,17,43,8,42,30,26
82,31,34,0,46,32,41,31,30,32,11
83,32,23,32,11,12,19,4,32,3,34
84,33,47,1,28,13,19,23,11,10,4
85,34,31,16,9,16,27,5,16,18,26
86,35,13,39,36,39,32,13,28,44,31
87,36,28,39,36,32,6,24,28,32,10
88,37,3,32,50,23,50,36,39,23,39
89,38,30,17,37,47,16,33,9,26,5
90,39,23,19,11,39,11,12,32,28,32
91,40,9,35,36,32,28,23,4,32,28
92,41,17,1,31,30,44,9,29,47,44
93,42,27,37,33,0,22,44,16,29,16
94,43,1,34,26,42,22,30,44,28,32
95,44,26,32,19,50,24,49,39,15,32
96,45,32,9,29,47,46,37,33,26,29
97,46,1,31,44,29,47,30,41,29,35
98,47,46,26,34,21,37,45,30,37,8
99,48,9,16,30,1,46,31,27,26,38
100,49,39,23,39,32,45,31,37,33,16
101,50,36,39,32,4,23,24,28,36,32
102,0,9,1,43,47,31,16,9,30,31
103,1,30,47,1,35,28,23,4,35,28
104,2,39,4,39,6,10,35,23,28,39
105,3,42,34,16,44,27,16,5,27,5
106,4,32,23,19,11,39,2,32,11,36
107,5,27,45,30,8,18,44,31,42,34
108,6,39,32,33,37,28,10,15,23,15
109,7,38,47,21,33,41,27,5,27,29
110,8,0,26,32,44,32,39,19,24,15
111,9,29,30,22,37,33,26,33,43,26
112,10,32,2,50,10,28,14,39,32,4
113,11,32,23,39,19,0,8,22,33,37
114,12,14,36,14,35,13,29,9,47,9
115,13,49,32,33,3,17,37,26,30,8
116,14,23,32,46,47,3,32,49,13,50
117,15,32,26,45,43,16,47,29,9,29
118,16,9,16,26,18,37,35,9,35,13
119,17,29,16,9,29,47,9,34,33,45
120,18,26,22,18,29,43,33,43,27,41
121,19,25,28,23,15,23,50,32,0,24
122,20,29,1,38,26,27,5,27,3,17
123,21,45,33,3,43,22,41,26,20,1
124,22,33,20,26,30,45,26,18,33,27
125,23,28,13,35,9,35,28,15,39,32
126,24,49,39,12,50,13,49,32,28,2
127,25,37,8,44,28,0,43,33,32,39
128,26,9,26,27,34,26,18,1,48,38
129,27,20,22,43,8,26,32,10,32,3
130,28,17,43,22,37,31,34,26,1,37
131,29,43,38,20,26,37,9,37,27,3
132,30,32,6,15,50,39,32,39,50,28
133,31,30,1,46,47,13,1,48,1,45
134,32,11,19,24,12,11,14,50,49,32
135,33,20,16,35,13,19,13,16,9,30
136,34,47,16,47,30,1,47,17,46,33
137,35,50,32,23,4,28,4,24,15,49
138,36,19,50,32,11,28,36,11,28,49
139,37,30,45,16,47,29,9,29,9,45
140,38,1,33,34,31,29,9,35,33,3
141,39,35,36,32,11,28,23,28,35,13
142,40,46,32,41,0,28,32,27,5,16
143,41,16,29,48,46,48,0,22,0,28
144,42,0,37,17,45,46,32,11,6,39
145,43,33,34,9,46,21,1,48,0,1
146,44,26,33,37,27,5,27,46,38,16
147,45,8,37,27,46,45,9,16,29,38
148,46,33,26,1,47,29,30,29,43,30
149,47,20,37,27,42,1,7,9,38,16
150,48,16,47,16,21,22,31,13,36,4
151,49,23,28,19,36,35,16,9,47,9
152,50,39,13,19,15,4,39,19,24,32
153,0,44,1,26,37,38,16,9,29,9
154,1,31,9,16,34,8,32,10,4,15
155,2,39,36,12,32,39,32,23,49,32
156,3,37,26,22,32,28,39,32,14,36
157,4,28,37,29,45,30,20,22,29,47
158,5,27,46,30,13,50,23,6,14,32
159,6,35,13,35,0,26,27,26,27,8
160,7,29,47,44,29,30,22,8,17,42
161,8,31,16,48,29,16,22,16,21,45
162,9,16,44,26,9,16,30,42,33,30
163,10,11,36,23,28,32,49,13,32,36
164,11,12,14,39,32,50,28,13,23,50
165,12,39,35,14,11,32,24,12,39,10
166,13,44,28,15,28,0,9,16,29,1
167,14,19,24,19,13,19,49,50,2,4
168,15,50,23,32,11,36,39,23,39,32
169,16,47,16,9,43,8,44,29,1,3
170,17,0,47,29,30,31,13,0,37,38
171,18,3,46,42,31,30,31,44,43,45
172,19,28,11,14,24,19,50,49,24,19
173,20,18,26,34,26,9,29,16,29,1
174,21,37,43,44,27,32,23,15,23,35
175,22,1,45,26,33,31,37,33,38,43
176,23,32,28,32,37,32,14,12,39,49
177,24,11,39,32,37,33,30,31,26,29
178,25,28,11,4,13,36,14,6,35,39
179,26,27,32,39,50,32,24,32,35,32
180,27,34,32,11,28,35,13,50,4,32
181,28,11,15,24,6,35,23,24,50,32
182,29,16,29,47,37,17,30,27,26,5
183,30,16,46,8,37,31,33,30,33,9
184,31,42,1,48,9,29,27,17,27,34
185,32,39,32,39,28,19,23,32,28,35
186,33,22,34,42,26,18,33,41,29,45
187,34,33,18,42,37,30,1,44,32,28
188,35,14,39,35,11,4,50,15,32,2
189,36,32,38,1,43,31,37,29,22,30
190,37,16,9,35,14,23,14,11,36,24
191,38,42,31,37,25,28,39,28,32,15
192,39,35,6,39,49,10,28,13,14,11
193,40,47,29,31,1,9,30,22,31,37
194,41,38,22,29,16,9,0,47,9,29
195,42,44,33,27,46,48,38,29,1,30
196,43,29,45,44,30,32,14,19,35,11
197,44,26,38,20,31,44,37,34,8,26
198,45,1,45,27,1,48,47,22,30,43
199,46,26,29,47,16,9,29,9,1,32
200,47,9,16,47,43,1,27,37,41,9
201,48,29,1,45,30,31,9,29,9,29
202,49,14,36,23,28,32,34,33,26,16
203,50,32,39,32,6,13,28,0,27,17
204,0,35,10,50,2,35,23,4,36,39
205,1,31,1,30,31,43,22,45,0,1
206,2,39,23,35,19,28,35,9,1,35
207,3,31,17,29,9,29,47,22,29,9
208,4,39,15,19,28,6,1,41,31,27
209,5,26,37,26,37,41,46,9,40,48
210,6,15,10,36,11,35,24,19,28,13
211,7,38,22,26,31,27,26,9,38,43
212,8,44,47,45,26,16,26,47,1,29
213,9,26,31,26,41,38,27,33,26,8
214,10,39,12,35,19,32,26,16,29,16
215,11,12,14,23,24,35,24,23,32,28
216,12,35,15,36,39,32,38,46,29,38
217,13,39,11,36,11,32,15,39,19,36
218,14,39,23,24,35,28,35,28,12,28
219,15,11,19,50,28,13,35,39,4,19
220,16,9,22,31,43,44,43,47,27,37
221,17,44,1,33,44,26,43,29,47,26
222,18,0,24,19,28,35,4,28,12,19
223,19,49,12,32,4,28,13,23,15,6
224,20,27,45,21,30,43,22,45,22,13
225,21,37,46,21,9,29,38,33,45,13
226,22,16,35,39,23,32,23,15,14,39
227,23,15,35,19,35,32,36,32,28,12
228,24,23,36,19,24,4,2,32,37,9
229,25,37,33,35,28,36,39,2,39,4
230,26,30,44,9,16,31,32,39,32,39
231,27,37,30,32,26,18,41,3,46,18
232,28,13,28,11,36,35,33,27,38,30
233,29,27,18,26,47,45,17,29,16,29
234,30,16,29,34,26,21,26,29,13,35
235,31,30,29,26,32,28,11,39,11,28
236,32,42,32,39,4,32,47,26,37,19
237,33,41,30,47,21,29,42,37,35,28
238,34,26,32,6,1,29,16,42,26,29
239,35,6,39,23,35,50,23,15,32,36
240,36,35,39,28,10,15,4,6,4,23
241,37,43,29,30,16,42,45,29,9,30
242,38,31,45,21,18,38,16,26,33,34
243,39,13,35,4,13,50,4,23,13,10
244,40,48,16,21,16,29,43,9,16,27
245,41,33,0,28,19,1,43,31,44,38
246,42,26,42,18,38,33,26,3,1,47
247,43,22,30,43,9,30,47,1,31,1
248,44,28,36,19,23,4,23,49,39,32
249,45,13,28,19,0,37,3,38,43,41
250,46,48,47,16,27,37,30,1,30,33
251,47,9,31,13,12,39,49,13,24,0
252,48,47,48,9,46,16,9,37,9,29
253,49,4,28,0,1,20,37,47,32,23
254,50,23,49,50,19,28,35,11,32,6
255,0,1,44,29,47,16,9,16,33,29
256,1,16,30,45,37,3,32,39,35,28
257,2,6,32,43,45,26,18,46,3,45
258,3,37,13,23,32,49,23,49,4,15
259,4,23,28,19,11,14,36,19,23,39
260,5,37,27,9,29,44,26,0,1,33
261,6,39,4,32,36,12,32,42,1,30
262,7,1,7,29,33,35,12,39,32,49
263,8,37,8,32,37,44,1,26,28,13
264,9,16,29,30,44,43,13,50,23,32
265,10,32,4,28,15,35,28,35,32,39
266,11,35,13,45,16,29,1,30,29,9
267,12,39,28,50,39,12,32,11,39,50
268,13,39,13,4,13,28,13,28,15,32
269,14,19,35,10,49,23,24,0,19,4
270,15,35,39,6,28,30,1,47,16,29
271,16,35,19,36,12,36,32,36,32,4
272,17,16,27,16,47,41,31,44,29,7
273,18,33,32,36,12,32,28,39,13,4
274,19,35,14,32,11,39,50,28,25,24
275,20,38,0,28,25,19,24,23,4,13
276,21,3,17,30,26,32,0,13,28,39
277,22,41,8,37,25,28,49,35,16,29
278,23,13,29,48,1,30,47,48,47,16
279,24,13,15,49,11,50,49,23,50,39
280,25,0,48,29,46,43,47,27,9,22
281,26,27,22,29,16,30,47,16,37,26
282,27,33,35,6,23,49,50,32,14,36
283,28,36,50,23,39,49,15,4,23,32
284,29,38,29,7,9,1,48,47,16,27
285,30,18,33,30,29,16,21,17,37,34
286,31,27,31,29,33,30,43,31,16,35
287,32,19,49,50,32,30,9,16,37,33
288,33,38,37,32,31,8,33,38,1,47
289,34,31,43,16,22,37,42,1,45,3
290,35,36,4,23,49,39,28,13,1,22
291,36,24,50,35,33,27,37,35,28,12
292,37,1,30,29,16,9,16,9,35,28
293,38,32,39,19,25,13,39,36,13,16
294,39,32,44,21,18,26,1,17,45,44
295,40,48,1,30,34,29,31,22,45,31
296,41,31,26,21,8,31,27,29,30,45
297,42,0,1,13,16,47,30,33,30,27
298,43,45,44,17,21,3,33,26,22,21
299,44,21,44,31,46,29,35,16,26,33
