,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,35,16,4,16,50,29,12,9,19
1,1,24,48,23,47,49,29,19,47,4
2,2,16,32,29,19,9,32,9,32,29
3,3,35,17,35,30,35,27,35,32,9
4,4,16,32,35,18,35,32,16,49,29
5,5,6,26,35,22,35,31,28,30,35
6,6,29,32,16,32,16,50,16,35,22
7,7,19,7,19,46,24,47,23,48,24
8,8,35,20,35,29,32,29,50,16,32
9,9,32,35,30,28,30,13,30,35,33
10,10,17,10,29,32,16,23,21,35,29
11,11,29,11,31,28,29,28,45,28,30
12,12,29,10,29,35,1,19,38,35,30
13,13,43,13,47,23,47,23,21,23,21
14,14,9,36,29,24,46,35,33,35,41
15,15,29,39,29,10,29,39,16,28,29
16,16,39,26,13,43,28,13,43,28,30
17,17,35,21,23,16,39,9,32,35,37
18,18,35,37,35,32,9,28,22,28,45
19,19,9,14,29,36,9,14,9,39,9
20,20,35,17,13,28,30,28,47,13,47
21,21,23,47,23,48,24,40,24,48,19
22,22,35,31,35,42,35,34,35,37,35
23,23,47,28,29,32,29,36,29,36,29
24,24,40,24,47,19,46,19,1,19,1
25,25,1,28,1,28,30,28,9,19,29
26,26,6,16,32,35,0,19,9,19,47
27,27,6,5,6,5,6,27,6,27,6
28,28,31,35,32,16,50,29,28,45,28
29,29,39,16,23,21,23,16,49,16,2
30,30,35,29,28,30,28,22,28,13,43
31,31,35,37,35,45,35,41,35,17,13
32,32,16,15,29,39,16,2,16,15,16
33,33,35,29,49,16,39,16,32,16,39
34,34,35,22,35,45,28,29,36,29,39
35,35,16,23,47,24,48,24,40,24,1
36,36,9,11,31,28,44,13,26,35,1
37,37,6,27,6,5,6,37,35,8,35
38,38,35,37,6,16,13,43,13,26,13
39,39,26,35,44,13,16,35,30,28,30
40,40,14,40,14,9,12,29,50,47,49
41,41,35,1,37,35,31,11,9,39,16
42,42,35,45,35,43,13,26,6,37,6
43,43,35,26,13,17,35,38,35,33,35
44,44,28,30,28,29,15,29,35,41,35
45,45,35,3,35,27,35,30,35,33,35
46,46,35,37,35,0,19,7,19,38,19
47,47,50,16,35,33,35,32,35,30,13
48,48,19,48,23,16,6,5,6,16,32
49,49,47,49,16,39,26,35,32,16,39
50,50,47,49,29,12,29,14,40,24,48
51,0,1,28,16,2,16,32,29,4,47
52,1,37,35,21,35,18,35,46,19,7
53,2,16,39,29,4,16,23,21,23,29
54,3,35,22,35,27,6,27,6,16,13
55,4,16,50,29,50,29,28,31,35,32
56,5,6,26,6,27,6,37,1,19,7
57,6,27,6,16,49,47,50,47,49,47
58,7,19,7,19,29,39,16,2,16,39
59,8,35,41,35,9,11,29,39,16,49
60,9,36,9,36,29,39,16,39,9,32
61,10,29,39,9,14,9,14,40,14,40
62,11,29,36,29,19,9,12,9,12,9
63,12,9,19,9,32,16,39,9,28,29
64,13,47,50,16,32,16,32,35,21,23
65,14,40,24,48,23,47,39,9,36,29
66,15,47,23,21,23,21,35,41,35,44
67,16,50,47,24,47,15,16,15,47,49
68,17,10,29,36,9,11,29,39,9,32
69,18,35,30,28,30,35,26,13,44,13
70,19,48,23,48,24,40,14,9,36,29
71,20,35,1,0,19,38,35,31,35,30
72,21,35,16,23,16,49,47,19,38,19
73,22,28,30,28,29,23,48,19,29,14
74,23,21,35,37,35,47,19,48,24,46
75,24,48,19,48,19,46,19,48,23,16
76,25,1,35,32,35,33,35,43,35,1
77,26,35,31,35,17,13,47,39,47,23
78,27,35,30,28,29,35,32,16,15,16
79,28,29,32,35,30,28,13,43,28,30
80,29,14,29,32,9,39,16,23,21,23
81,30,28,43,28,30,28,1,35,31,35
82,31,28,13,29,36,29,12,9,39,29
83,32,9,36,9,12,9,39,16,39,26
84,33,35,45,35,38,19,9,12,29,23
85,34,35,22,28,30,28,30,28,30,28
86,35,27,35,21,35,18,35,17,13,1
87,36,9,36,9,19,46,24,47,49,16
88,37,35,34,35,27,6,16,39,16,32
89,38,35,42,35,31,35,32,35,29,23
90,39,29,36,29,36,9,32,16,6,5
91,40,14,9,11,9,39,9,36,9,32
92,41,35,9,39,9,39,29,32,35,27
93,42,35,27,6,27,6,26,35,18,35
94,43,13,17,10,29,39,29,28,1,24
95,44,13,16,39,26,39,9,36,9,11
96,45,28,30,35,27,6,5,6,29,32
97,46,35,43,28,29,15,47,28,29,11
98,47,50,47,19,48,19,29,19,46,19
99,48,19,1,13,29,32,9,11,9,12
100,49,47,15,47,24,29,32,29,36,29
101,50,29,35,41,35,31,35,17,35,46
102,0,35,30,28,31,35,41,35,27,6
103,1,19,46,35,26,13,43,35,1,28
104,2,16,13,43,35,26,35,17,35,37
105,3,35,38,35,33,35,37,6,27,6
106,4,29,12,29,24,47,49,47,23,48
107,5,6,27,6,29,50,16,35,31,28
108,6,27,35,30,28,30,28,16,15,29
109,7,19,48,24,48,19,48,24,48,24
110,8,35,26,13,26,35,17,13,26,6
111,9,28,29,32,29,10,17,35,17,10
112,10,29,28,1,28,31,28,30,13,47
113,11,29,32,35,41,35,9,35,16,39
114,12,29,23,47,49,47,13,16,32,35
115,13,47,35,17,10,29,32,9,36,29
116,14,9,19,1,19,46,35,44,35,37
117,15,47,13,17,10,17,35,20,35,1
118,16,32,29,13,26,39,16,32,29,39
119,17,10,17,13,26,39,47,15,47,13
120,18,35,47,19,9,36,9,39,9,11
121,19,48,23,16,39,26,6,5,6,27
122,20,35,17,35,22,28,30,28,30,28
123,21,23,47,49,16,13,47,35,26,13
124,22,35,32,29,39,16,39,9,36,29
125,23,16,13,43,35,34,35,16,28,9
126,24,1,35,8,35,18,35,33,35,38
127,25,1,28,16,39,16,32,9,39,29
128,26,13,30,28,30,13,17,10,17,35
129,27,6,27,35,27,6,5,6,27,35
130,28,30,13,16,2,16,39,9,39,9
131,29,36,9,39,9,39,26,13,44,28
132,30,35,8,35,27,35,33,35,26,6
133,31,28,31,28,30,13,26,6,27,6
134,32,35,42,35,33,35,45,35,44,13
135,33,35,9,36,9,36,9,39,29,39
