,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,17,30,1,29,27,18,45,32,4
1,1,17,30,16,9,29,16,26,41,9
2,2,13,28,13,25,35,16,3,20,18
3,3,34,27,16,37,20,1,46,0,13
4,4,35,39,13,0,17,26,46,34,9
5,5,16,33,26,27,26,38,20,30,47
6,6,36,32,35,39,35,1,35,11,12
7,7,48,47,29,26,33,26,22,3,18
8,8,47,17,44,16,30,42,34,17,21
9,9,16,32,23,6,32,39,10,49,32
10,10,50,13,28,12,19,25,35,19,39
11,11,36,15,4,50,23,39,11,32,23
12,12,14,32,19,15,23,2,35,49,2
13,13,30,47,29,13,9,16,47,16,9
14,14,4,23,13,49,19,4,50,23,50
15,15,28,35,0,26,31,30,43,13,45
16,16,47,3,37,13,39,35,28,32,42
17,17,33,26,33,30,27,17,21,29,1
18,18,21,16,9,16,28,35,19,24,28
19,19,50,39,32,45,31,1,35,28,26
20,20,32,43,9,16,37,16,28,35,9
21,21,32,39,35,39,28,36,4,12,36
22,22,29,26,27,43,28,35,10,36,12
23,23,39,19,39,32,1,22,45,26,47
24,24,49,15,4,11,32,50,32,11,36
25,25,19,28,19,28,4,35,19,39,32
26,26,37,45,30,1,29,35,39,23,28
27,27,33,43,47,28,32,4,14,36,39
28,28,50,23,32,36,14,50,11,12,36
29,29,9,29,9,29,31,0,3,29,16
30,30,34,33,38,16,1,48,29,16,33
31,31,30,26,18,46,38,0,26,43,29
32,32,2,32,30,33,31,34,20,21,27
33,33,32,39,49,50,4,39,10,35,39
34,34,27,31,37,33,21,29,31,29,44
35,35,36,14,11,32,30,44,31,30,29
36,36,39,13,39,23,39,4,49,50,49
37,37,13,15,49,15,49,50,39,13,1
38,38,22,0,13,35,24,28,36,39,32
39,39,32,38,26,33,42,16,47,16,26
40,40,9,29,45,41,32,24,28,36,14
41,41,32,9,26,44,22,29,0,45,31
42,42,33,44,45,27,31,32,13,44,31
43,43,31,45,32,16,1,35,32,37,41
44,44,45,8,47,31,44,43,29,26,30
45,45,37,21,17,3,27,37,0,26,27
46,46,1,29,1,47,44,1,22,30,45
47,47,48,40,9,22,27,16,9,16,21
48,48,46,29,16,30,45,1,26,34,22
49,49,32,42,18,26,0,46,38,0,21
50,50,49,35,33,29,1,41,0,8,20
51,0,16,9,48,1,44,17,30,1,30
52,1,29,9,48,1,42,30,47,32,50
53,2,6,35,6,28,24,50,32,42,20
54,3,8,16,26,37,27,41,44,18,31
55,4,35,13,0,24,37,41,33,3,37
56,5,37,8,30,31,27,45,27,8,34
57,6,39,36,12,39,14,39,36,11,32
58,7,0,27,26,46,41,42,43,22,27
59,8,37,3,22,20,9,34,37,26,21
60,9,16,17,1,43,45,42,21,26,27
61,10,6,39,11,32,34,43,30,47,29
62,11,19,35,23,35,1,44,16,31,13
63,12,36,12,39,6,35,4,13,32,28
64,13,15,4,23,4,13,1,47,33,32
65,14,4,50,35,39,28,25,0,41,3
66,15,39,12,35,4,2,32,4,13,28
67,16,18,37,26,43,17,44,43,26,27
68,17,30,38,9,16,35,13,32,23,36
69,18,47,31,21,26,29,43,13,31,33
70,19,50,24,37,27,26,38,22,3,31
71,20,16,9,1,3,8,44,33,18,47
72,21,26,1,16,27,26,9,16,26,17
73,22,31,9,33,35,28,35,29,9,29
74,23,49,6,39,28,36,14,32,19,23
75,24,49,15,39,50,23,24,49,32,39
76,25,0,24,28,19,24,19,23,28,35
77,26,45,8,30,31,33,47,16,26,46
78,27,5,29,9,16,30,31,30,43,3
79,28,36,6,39,15,49,28,19,25,19
80,29,47,32,50,49,35,4,32,39,28
81,30,33,30,16,35,28,37,18,21,16
82,31,45,47,34,37,0,25,0,28,39
83,32,2,39,19,23,39,14,12,24,25
84,33,26,47,22,21,16,47,16,28,39
85,34,32,36,39,32,38,27,38,48,47
86,35,13,39,32,22,43,20,1,47,16
87,36,39,15,35,50,11,14,12,36,28
88,37,29,22,42,26,47,22,3,31,0
89,38,9,26,21,8,33,26,0,27,18
90,39,14,32,35,23,10,24,50,32,15
91,40,48,29,40,47,28,23,24,35,32
92,41,37,27,42,30,46,31,47,29,31
93,42,38,47,16,5,27,38,45,43,47
94,43,30,44,30,29,5,29,0,37,16
95,44,47,46,32,39,19,39,6,12,13
96,45,34,26,1,9,16,30,9,29,9
97,46,8,26,29,9,7,46,20,26,5
98,47,48,29,16,17,43,32,4,49,32
99,48,29,47,29,47,9,16,32,19,35
100,49,39,14,39,36,32,23,28,35,16
101,50,35,16,37,28,30,45,31,44,28
102,0,33,29,9,17,37,46,47,45,17
103,1,20,31,43,42,27,43,1,30,47
104,2,13,25,0,28,35,39,36,39,4
105,3,29,31,44,30,47,32,27,26,27
106,4,39,35,36,39,10,35,39,15,23
107,5,27,22,16,9,29,1,29,16,47
108,6,35,13,35,19,28,35,33,8,32
109,7,29,9,16,35,28,19,32,12,6
110,8,0,42,33,46,47,16,29,9,16
111,9,46,48,7,47,48,29,5,27,30
112,10,24,14,6,35,9,1,32,45,30
113,11,35,25,28,0,1,21,37,26,22
114,12,36,39,49,15,23,13,49,36,11
115,13,45,47,29,16,29,45,13,28,23
116,14,32,28,19,25,19,28,44,28,35
117,15,39,23,14,35,11,50,15,39,4
118,16,27,41,33,30,17,45,26,34,17
119,17,16,1,47,30,22,8,22,32,39
120,18,8,31,43,16,26,42,29,16,47
121,19,28,39,11,36,50,6,13,1,29
122,20,38,9,29,16,35,4,50,32,37
123,21,31,20,33,21,26,17,16,9,26
124,22,29,9,35,11,39,28,39,32,6
125,23,50,32,39,12,19,11,4,39,19
126,24,13,23,49,50,15,36,32,27,16
127,25,28,23,19,23,28,6,35,11,35
128,26,8,21,33,22,37,0,26,46,29
129,27,21,29,44,26,28,0,42,37,3
130,28,4,49,35,32,19,24,28,0,26
131,29,47,30,1,37,47,0,19,13,4
132,30,1,9,16,29,16,9,44,43,30
133,31,1,30,13,50,39,13,10,13,15
134,32,44,29,47,16,9,48,1,47,26
135,33,18,31,34,1,31,42,31,30,32
136,34,45,26,47,29,46,27,29,9,44
137,35,1,17,8,47,29,40,9,31,22
138,36,11,32,13,39,28,11,39,36,28
139,37,34,26,45,1,44,30,29,38,29
140,38,46,41,18,22,13,6,50,39,35
141,39,14,23,32,29,47,26,32,18,41
142,40,9,29,26,31,9,16,9,27,44
143,41,17,29,20,18,29,45,46,48,0
144,42,33,35,39,6,11,49,35,15,32
145,43,30,28,37,27,17,34,31,45,21
146,44,16,29,1,26,16,47,29,31,47
147,45,22,26,34,42,27,33,3,1,3
148,46,32,6,28,49,39,35,6,39,49
149,47,16,13,11,36,39,6,49,13,4
150,48,7,1,31,0,27,16,1,13,28
151,49,39,14,23,50,24,0,28,19,39
152,50,39,32,22,26,43,17,3,32,33
153,0,45,47,16,47,16,47,9,35,19
154,1,44,30,26,32,49,6,39,32,39
155,2,50,32,35,11,12,19,28,14,12
156,3,20,30,44,30,27,46,16,3,21
157,4,32,27,29,9,7,1,22,1,19
158,5,29,22,20,32,44,32,42,33,17
159,6,36,39,11,15,10,39,36,32,36
160,7,1,30,29,16,9,33,31,43,31
161,8,21,37,21,38,48,47,1,9,45
162,9,26,29,26,41,29,9,40,1,28
163,10,12,32,14,39,50,39,13,47,9
164,11,32,31,13,35,6,50,39,2,49
165,12,13,39,32,19,39,28,32,35,28
166,13,28,16,5,27,37,33,30,43,33
167,14,13,28,35,32,20,38,30,26,43
168,15,10,39,23,50,6,35,33,27,32
169,16,29,9,47,30,32,35,37,17,21
170,17,30,22,20,45,22,1,46,16,9
171,18,33,37,18,8,0,26,21,33,44
172,19,11,32,28,4,49,39,36,12,39
173,20,26,9,16,29,17,16,9,31,16
174,21,0,47,31,33,3,32,49,23,4
175,22,1,33,26,38,1,37,46,26,43
176,23,32,39,32,13,35,6,12,39,6
177,24,37,38,1,19,39,23,32,35,15
178,25,19,10,36,35,36,11,36,19,32
179,26,9,29,9,47,1,22,26,45,41
180,27,18,26,38,27,42,30,26,31,29
181,28,14,32,11,39,32,28,35,9,32
182,29,47,1,16,9,13,32,39,15,32
183,30,16,29,47,48,29,1,16,29,9
184,31,37,47,1,30,22,45,26,22,9
185,32,30,16,26,0,35,6,35,50,4
186,33,30,43,9,32,36,12,36,39,28
187,34,42,33,32,50,28,36,50,23,15
188,35,49,23,28,19,25,28,17,44,33
189,36,12,39,13,12,24,28,39,49,39
190,37,5,27,31,22,45,26,27,33,27
191,38,16,27,18,8,31,22,16,47,16
192,39,32,17,27,8,17,44,29,30,31
193,40,29,44,18,44,33,8,32,0,41
194,41,32,4,39,28,0,1,19,39,4
195,42,31,44,33,1,29,1,47,43,34
196,43,16,9,30,29,26,16,22,30,29
197,44,3,1,48,47,31,27,9,35,10
198,45,44,13,35,16,47,29,44,26,16
199,46,1,19,39,23,6,32,27,32,44
200,47,45,29,13,35,16,9,30,42,34
201,48,16,30,45,13,49,4,13,2,50
202,49,4,28,14,28,37,34,33,26,21
203,50,28,4,6,39,32,6,15,4,32
204,0,22,30,31,9,0,7,46,27,18
205,1,44,20,18,16,45,30,31,30,29
206,2,39,11,36,49,28,4,39,11,32
207,3,34,26,9,0,25,0,9,38,1
208,4,39,36,32,9,1,31,3,27,3
209,5,16,47,13,28,36,11,28,39,36
210,6,39,35,16,35,39,36,23,32,11
211,7,46,38,1,30,42,29,1,32,3
212,8,37,19,24,19,28,24,32,39,6
213,9,16,26,1,37,27,32,26,37,46
214,10,50,39,4,24,0,38,27,16,9
215,11,32,2,15,50,49,24,19,11,32
216,12,39,19,39,49,50,13,35,16,9
217,13,24,23,13,23,19,39,28,19,11
218,14,12,39,13,39,19,0,26,27,30
219,15,23,39,23,19,49,32,35,28,39
220,16,29,35,24,0,24,39,32,37,26
221,17,30,33,31,29,31,41,31,47,3
222,18,33,18,27,32,49,23,11,19,28
223,19,23,24,32,11,12,35,49,11,28
224,20,8,16,9,46,1,17,33,42,37
225,21,27,16,29,30,22,16,31,42,41
226,22,46,31,1,31,45,9,1,45,30
227,23,24,13,15,32,26,37,33,38,47
228,24,39,12,36,32,39,23,32,43,47
229,25,13,36,15,39,28,32,24,39,28
230,26,27,45,32,28,11,19,24,35,28
231,27,9,0,35,9,29,31,22,9,42
232,28,4,39,23,32,4,49,10,35,32
233,29,44,26,30,33,9,31,47,16,47
234,30,42,21,31,16,26,16,21,34,9
235,31,9,29,9,16,28,35,6,39,32
236,32,12,19,0,42,27,30,29,9,35
237,33,35,4,36,11,12,14,32,21,20
238,34,27,32,35,28,12,13,28,4,15
239,35,33,27,16,27,16,27,26,42,45
240,36,28,39,32,0,45,8,33,46,3
241,37,0,32,11,32,49,35,12,36,19
242,38,41,31,22,1,19,35,4,39,35
243,39,13,31,44,1,8,1,34,18,29
244,40,48,1,38,31,26,30,32,39,2
245,41,47,8,45,17,9,16,29,45,31
246,42,45,22,21,32,39,4,28,35,29
247,43,1,47,46,33,18,32,36,39,13
248,44,16,9,29,40,1,46,47,33,35
249,45,31,29,5,27,26,47,29,26,30
250,46,18,31,26,43,30,27,1,29,44
251,47,26,37,26,9,44,22,16,29,16
252,48,7,47,9,32,34,31,30,31,1
253,49,23,19,24,32,39,36,50,24,23
254,50,23,32,11,50,6,1,40,9,30
255,0,20,27,43,27,34,37,41,43,33
256,1,13,11,36,28,35,16,22,45,30
257,2,35,28,39,19,28,12,19,28,24
258,3,26,20,41,26,1,18,16,27,26
259,4,23,50,35,36,39,2,50,15,50
260,5,37,19,24,50,35,6,13,49,50
261,6,32,24,50,23,13,50,32,18,8
262,7,0,42,43,30,13,32,34,38,44
263,8,20,18,21,9,35,49,10,23,50
264,9,27,47,30,29,35,28,25,0,35
265,10,14,39,19,28,43,21,38,47,29
266,11,28,32,30,33,1,16,3,30,46
267,12,28,35,50,35,33,26,3,33,37
268,13,35,1,30,42,16,47,43,27,29
269,14,50,32,43,29,27,5,27,3,30
270,15,14,35,28,19,28,47,29,16,29
271,16,29,35,39,4,32,0,17,45,22
272,17,44,32,29,47,34,45,0,37,30
273,18,8,26,1,47,44,1,47,16,27
274,19,15,32,31,27,42,47,20,26,33
275,20,21,1,48,7,46,16,27,29,43
276,21,26,16,29,1,31,37,22,44,43
277,22,42,26,27,26,28,49,32,38,9
278,23,2,32,35,13,50,39,28,19,35
279,24,23,39,32,36,12,39,4,32,39
