,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,26,43,26,29,26,31,44,30,26
1,1,7,0,1,26,30,31,9,29,40
2,2,15,35,12,50,39,50,23,6,32
3,3,9,35,33,29,47,9,43,18,9
4,4,39,36,23,13,43,47,27,38,9
5,5,27,5,27,26,38,17,8,17,30
6,6,35,28,25,28,0,16,29,16,9
7,7,48,1,41,32,49,32,24,13,30
8,8,32,3,16,37,47,38,37,45,43
9,9,29,16,35,28,23,32,26,20,33
10,10,36,11,28,35,36,11,4,14,4
11,11,32,35,11,12,39,28,13,24,35
12,12,24,39,32,39,28,24,49,19,28
13,13,32,31,33,42,3,27,5,37,16
14,14,39,32,27,16,35,23,49,4,39
15,15,10,15,50,49,39,23,28,19,24
16,16,29,27,17,29,22,45,13,2,13
17,17,28,35,28,35,9,16,29,1,33
18,18,42,33,1,22,26,47,26,33,17
19,19,12,32,50,39,50,13,24,6,23
20,20,38,7,38,8,29,47,45,30,43
21,21,29,26,3,27,29,16,29,9,1
22,22,33,30,29,9,16,30,33,42,38
23,23,39,50,32,23,13,22,31,30,9
24,24,23,50,24,19,28,10,4,39,32
25,25,19,39,36,14,36,39,49,12,6
26,26,38,31,30,1,9,16,9,16,30
27,27,8,45,22,45,29,45,30,32,11
28,28,19,28,39,10,39,12,10,35,1
29,29,30,46,32,16,44,16,30,13,19
30,30,1,48,29,47,29,16,29,33,43
31,31,30,43,1,38,0,41,31,17,26
32,32,36,15,2,35,0,28,24,23,35
33,33,20,0,1,30,18,33,35,6,1
34,34,0,27,30,1,41,21,26,8,32
35,35,23,32,21,27,45,33,9,1,7
36,36,10,24,11,6,15,39,4,28,50
37,37,29,1,47,41,30,31,1,0,1
38,38,18,34,33,35,10,14,32,33,43
39,39,24,19,35,28,35,24,49,13,35
40,40,47,21,33,29,1,9,45,16,9
41,41,31,22,21,31,29,16,30,32,19
42,42,20,30,26,31,17,43,31,37,21
43,43,32,21,0,47,18,31,41,31,1
44,44,31,37,19,1,26,42,31,1,3
45,45,20,44,16,37,45,31,1,9,29
46,46,9,29,47,38,0,24,32,4,11
47,47,31,8,41,16,26,0,16,21,43
48,48,47,33,30,44,32,36,35,37,16
49,49,35,39,32,27,29,47,30,34,46
50,50,19,35,9,27,37,0,1,44,9
51,0,30,16,33,38,33,38,0,27,22
52,1,44,21,20,33,29,9,3,26,46
53,2,23,49,15,39,12,24,35,13,19
54,3,0,7,1,7,0,46,26,16,48
55,4,32,39,4,36,32,33,21,22,21
56,5,27,17,28,49,19,35,39,4,11
57,6,39,32,39,19,28,32,18,41,33
58,7,1,48,46,47,29,48,40,29,43
59,8,1,16,9,29,9,20,29,16,9
60,9,35,16,33,27,31,45,44,33,26
61,10,32,13,37,46,32,19,28,23,11
62,11,12,32,35,9,37,1,35,23,49
63,12,39,12,32,14,12,14,32,2,39
64,13,35,9,16,21,18,30,32,12,11
65,14,28,15,35,12,39,23,32,39,11
66,15,32,12,36,11,39,15,39,13,24
67,16,9,43,8,17,16,29,47,9,1
68,17,27,30,16,27,22,33,42,31,22
69,18,33,47,8,45,1,44,27,16,30
70,19,24,23,12,49,19,4,12,39,32
71,20,22,16,9,16,26,45,47,42,37
72,21,43,31,1,31,16,31,3,27,37
73,22,47,34,43,37,38,33,31,43,47
74,23,11,39,28,37,34,20,16,37,25
75,24,50,35,19,39,50,32,39,32,39
76,25,28,15,2,32,27,16,9,29,37
77,26,32,36,11,32,36,35,1,43,29
78,27,0,27,32,18,1,34,21,16,29
79,28,24,15,12,49,32,18,45,27,5
80,29,43,0,24,37,3,1,30,47,45
81,30,42,32,13,24,14,28,13,28,39
82,31,1,22,29,16,9,35,28,36,32
83,32,12,19,39,32,35,23,28,32,23
84,33,0,22,30,21,33,32,11,19,35
85,34,44,9,29,47,48,29,9,16,45
86,35,13,44,1,28,12,36,4,50,28
87,36,14,35,33,34,26,33,1,31,34
88,37,22,37,30,41,32,8,31,47,22
89,38,30,1,30,17,45,41,33,29,28
90,39,23,15,49,4,32,33,37,9,31
91,40,48,29,44,43,31,45,32,50,11
92,41,27,20,32,23,35,28,0,28,49
93,42,16,27,44,20,26,32,31,45,43
94,43,16,5,27,42,27,29,43,30,16
95,44,17,47,22,16,31,30,13,16,9
96,45,16,30,41,34,47,26,16,43,21
97,46,48,1,8,33,35,16,34,31,26
98,47,9,40,47,32,28,35,29,9,16
99,48,29,17,21,37,27,26,32,50,6
100,49,10,35,13,30,47,16,32,33,32
101,50,32,3,32,12,49,15,39,49,50
102,0,43,33,27,44,30,26,1,35,32
103,1,13,0,35,14,10,28,32,28,24
104,2,32,39,19,49,19,35,13,15,49
105,3,26,29,16,44,30,1,29,9,16
106,4,49,50,49,28,39,6,35,28,13
107,5,29,22,13,35,49,36,39,23,2
108,6,10,19,14,6,35,6,23,15,23
109,7,48,47,38,29,0,35,11,35,6
110,8,17,43,44,47,44,47,46,26,46
111,9,48,1,34,31,30,29,27,33,27
112,10,4,39,32,23,35,28,35,16,41
113,11,32,30,13,39,35,49,35,1,32
114,12,6,49,36,19,35,28,35,23,35
115,13,2,23,19,24,49,32,23,35,39
116,14,12,23,6,35,32,39,28,13,19
117,15,49,32,45,30,33,35,32,34,30
118,16,9,31,1,30,44,0,28,35,1
119,17,42,33,37,13,30,16,33,0,31
120,18,29,16,37,31,37,28,13,35,32
121,19,24,6,36,19,10,4,39,28,13
122,20,18,45,43,26,27,22,30,0,26
123,21,20,27,33,32,12,11,39,32,11
124,22,30,1,16,9,16,32,13,29,26
125,23,35,36,32,50,39,4,28,19,28
126,24,19,36,19,39,36,32,39,35,28
127,25,13,15,28,11,32,33,16,9,16
128,26,32,39,19,24,11,19,24,49,2
129,27,38,48,47,29,9,16,9,47,9
130,28,39,12,39,13,30,8,38,22,26
131,29,9,16,32,46,47,28,12,19,13
132,30,44,20,33,30,29,33,32,49,24
133,31,27,1,46,29,47,16,30,43,1
134,32,28,19,39,49,2,32,39,32,39
135,33,44,17,21,3,44,28,36,39,32
136,34,45,1,47,18,33,30,47,29,16
137,35,32,19,39,13,28,32,50,39,32
138,36,11,36,39,12,32,13,15,39,6
139,37,8,42,18,41,29,18,33,31,43
140,38,48,0,30,43,9,27,31,9,16
141,39,19,39,15,49,24,28,50,19,35
142,40,47,30,9,29,26,5,27,34,29
143,41,29,46,37,29,26,1,18,16,9
144,42,20,31,9,16,29,9,16,9,29
145,43,1,26,9,30,1,30,9,30,38
146,44,47,9,1,30,26,32,39,32,2
147,45,47,16,21,33,35,19,36,4,35
148,46,48,46,45,33,38,41,45,30,26
149,47,16,22,18,26,9,29,9,31,1
150,48,29,43,31,30,44,26,32,30,32
151,49,36,12,19,28,39,23,13,10,24
152,50,39,19,0,44,13,32,10,13,23
153,0,44,33,9,16,3,34,29,26,30
154,1,9,16,43,1,9,16,27,33,17
155,2,23,28,35,39,32,13,10,13,39
156,3,27,37,34,33,46,26,17,21,20
157,4,49,28,36,11,32,38,33,45,27
158,5,29,47,21,37,17,42,43,47,31
159,6,35,24,32,22,46,42,26,32,37
160,7,1,0,27,37,32,22,44,0,28
161,8,0,26,27,33,3,47,43,30,43
162,9,45,30,8,22,37,9,48,0,35
163,10,32,39,4,23,50,35,13,32,2
164,11,14,32,4,15,32,15,10,35,10
165,12,11,14,36,35,28,4,39,50,39
166,13,22,3,47,9,42,30,9,29,16
167,14,39,4,23,15,49,24,10,35,49
168,15,32,36,50,15,23,24,35,11,39
169,16,27,16,47,48,16,47,29,0,1
170,17,26,45,17,26,30,42,26,29,38
171,18,31,29,16,35,29,46,27,26,17
172,19,24,28,39,2,32,36,32,39,50
173,20,26,37,33,43,33,20,33,43,26
174,21,16,37,46,16,47,33,21,16,27
175,22,18,33,46,37,46,47,46,18,43
176,23,32,44,33,34,46,32,35,39,32
177,24,19,24,28,25,19,13,23,13,2
178,25,35,23,13,39,11,15,32,19,50
179,26,3,32,36,19,0,44,21,22,31
180,27,26,37,43,42,17,27,34,8,41
181,28,35,13,4,32,44,9,16,9,35
182,29,22,46,1,44,30,33,35,9,0
183,30,16,44,32,39,35,39,32,23,10
184,31,30,17,38,26,20,27,32,10,14
185,32,26,46,29,1,31,30,1,27,34
186,33,17,16,21,1,47,29,26,9,18
187,34,37,0,24,39,36,28,15,12,36
188,35,24,14,11,6,35,28,0,48,7
189,36,32,35,13,39,14,39,23,24,0
190,37,27,38,16,41,18,37,21,48,46
191,38,29,47,29,16,43,44,29,16,30
192,39,6,28,39,32,50,23,13,35,28
193,40,9,33,26,18,30,47,45,3,33
194,41,26,31,9,8,3,41,31,29,47
195,42,20,33,35,33,31,42,33,43,31
196,43,47,9,29,35,39,35,28,24,32
197,44,1,9,16,29,0,27,30,44,16
198,45,31,22,29,9,41,0,41,17,1
199,46,8,45,31,26,1,44,26,28,15
200,47,16,29,26,37,32,12,14,28,37
201,48,29,47,20,47,32,39,32,31,32
202,49,24,19,35,11,36,39,12,32,49
203,50,49,28,35,28,19,28,50,49,15
204,0,43,26,33,31,33,41,46,18,41
205,1,32,28,24,13,6,19,15,32,45
206,2,39,32,14,19,4,39,32,23,49
207,3,17,47,43,33,30,27,22,26,42
208,4,15,23,11,39,13,36,50,4,39
209,5,29,9,21,27,29,16,29,31,29
210,6,35,2,32,26,1,44,42,18,32
211,7,9,16,33,35,13,39,28,25,13
212,8,45,31,30,1,0,28,0,19,0
213,9,7,48,47,16,17,30,1,29,17
214,10,35,6,50,39,15,28,11,14,10
215,11,32,1,31,1,44,26,30,43,20
216,12,39,35,39,19,32,39,13,49,19
217,13,49,32,39,35,11,36,12,36,19
218,14,12,6,32,6,28,23,50,28,39
219,15,32,44,18,31,30,26,32,49,13
220,16,21,32,39,32,12,28,35,36,13
221,17,30,16,47,37,33,43,30,46,0
222,18,9,1,0,48,1,30,47,37,29
223,19,0,29,46,31,22,17,16,29,47
224,20,9,29,47,17,44,30,16,33,32
225,21,27,47,29,16,9,29,0,31,20
226,22,41,3,26,46,42,16,26,31,1
227,23,6,2,49,4,39,23,11,6,32
228,24,13,31,30,31,46,9,29,47,9
229,25,37,34,33,44,1,30,8,42,30
230,26,34,30,1,31,29,9,29,47,8
231,27,31,16,35,19,39,49,6,50,32
232,28,13,6,15,39,28,35,28,23,39
233,29,26,0,28,32,8,33,1,9,41
234,30,32,24,35,2,32,39,36,35,28
235,31,29,28,14,36,32,36,14,12,36
236,32,39,50,39,28,23,32,23,19,1
237,33,43,16,35,28,10,50,6,50,32
238,34,3,31,13,39,13,30,27,37,0
239,35,32,6,39,32,49,15,13,28,32
240,36,39,32,23,36,14,28,32,4,39
241,37,27,37,20,33,22,31,30,43,31
242,38,37,47,16,29,9,46,45,16,30
243,39,2,39,50,35,32,12,14,39,14
244,40,48,29,43,31,30,47,29,9,16
245,41,16,30,46,37,33,38,32,28,11
246,42,47,29,1,45,31,27,21,27,45
247,43,47,1,30,22,43,9,38,30,29
248,44,32,28,35,28,13,23,6,35,28
249,45,22,26,31,26,41,30,1,33,3
250,46,9,16,26,5,16,33,0,16,29
251,47,33,32,31,32,31,16,29,16,29
252,48,7,29,16,29,47,16,29,30,44
253,49,19,24,35,32,39,35,39,49,35
254,50,35,13,32,46,1,33,41,46,26
255,0,37,33,27,32,36,14,13,22,44
256,1,44,30,0,7,38,7,38,26,20
257,2,13,10,28,36,19,10,39,36,13
258,3,34,37,0,20,16,27,30,33,34
259,4,49,23,28,13,23,39,4,19,24
260,5,29,13,28,35,4,19,39,15,23
261,6,4,15,36,28,35,13,39,14,12
262,7,47,18,17,21,18,1,29,9,16
263,8,16,29,42,18,33,22,8,41,31
264,9,32,39,4,35,28,19,28,24,23
265,10,36,39,32,44,30,29,31,13,49
266,11,32,33,3,21,17,1,44,43,18
267,12,36,50,23,50,49,39,2,23,28
268,13,28,0,33,38,27,44,31,0,47
269,14,4,23,28,32,28,13,35,32,11
270,15,10,4,13,36,14,32,39,32,19
271,16,37,26,29,9,26,37,29,9,33
272,17,29,30,31,30,28,36,28,25,13
273,18,41,38,42,47,1,43,22,26,18
274,19,15,39,28,4,49,50,13,35,24
275,20,22,31,9,30,1,21,16,29,43
276,21,42,0,26,9,29,1,32,35,28
277,22,29,16,29,21,8,0,9,16,29
278,23,11,19,12,28,35,10,11,19,13
279,24,50,28,25,19,32,11,12,36,32
280,25,37,45,27,41,8,37,42,31,9
