,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,8,34,32,50,28,0,37,32,39
1,1,6,13,1,48,46,26,0,1,26
2,2,39,23,50,32,11,36,39,32,49
3,3,42,32,39,49,13,31,33,27,3
4,4,49,23,24,50,23,39,28,36,32
5,5,27,41,42,17,16,8,18,32,41
6,6,15,13,24,23,32,17,47,29,1
7,7,0,48,7,9,16,29,45,17,43
8,8,32,37,5,29,38,41,27,44,30
9,9,16,47,31,33,45,1,16,35,29
10,10,6,39,6,23,24,50,6,39,23
11,11,35,49,35,32,12,14,12,19,35
12,12,11,32,14,35,13,50,32,28,0
13,13,31,30,31,33,47,29,16,32,28
14,14,13,29,21,41,45,37,26,33,17
15,15,39,11,19,24,50,23,39,6,11
16,16,44,30,27,43,26,27,37,28,14
17,17,32,4,19,24,19,23,39,13,14
18,18,20,26,9,44,17,31,30,31,17
19,19,0,28,19,28,15,12,39,36,32
20,20,26,8,30,16,48,40,47,31,27
21,21,17,45,43,18,32,4,39,32,26
22,22,31,9,43,26,37,9,1,30,33
23,23,49,50,10,39,2,32,39,15,10
24,24,39,32,39,19,35,6,32,36,39
25,25,19,0,24,0,47,1,29,44,34
26,26,8,3,41,38,37,27,5,37,17
27,27,8,3,43,41,3,30,1,30,43
28,28,14,19,1,44,30,28,36,12,24
29,29,47,43,26,18,27,1,26,33,27
30,30,31,26,0,48,29,16,30,31,1
31,31,46,48,7,38,9,1,19,35,39
32,32,19,13,43,44,21,33,20,44,20
33,33,16,9,26,33,18,8,29,44,29
34,34,22,1,44,22,33,42,33,16,47
35,35,13,35,28,1,3,47,0,8,33
36,36,14,11,14,35,1,27,29,16,9
37,37,9,29,38,27,26,33,35,6,50
38,38,43,17,16,9,29,16,9,29,26
39,39,14,12,36,32,27,26,44,1,26
40,40,9,16,29,16,47,29,9,13,0
41,41,8,9,16,44,47,20,21,22,1
42,42,26,30,22,18,46,29,48,47,31
43,43,30,43,30,1,45,13,23,50,39
44,44,43,44,37,26,33,35,28,0,8
45,45,43,31,17,9,16,35,4,49,15
46,46,47,21,29,1,45,27,37,31,22
47,47,26,21,33,18,20,31,9,33,31
48,48,29,33,42,31,26,47,9,30,43
49,49,24,23,39,50,19,35,28,13,30
50,50,36,11,14,32,16,9,27,5,27
51,0,30,31,45,1,44,26,43,46,48
52,1,30,31,37,16,9,26,34,30,26
53,2,32,30,45,1,29,38,18,27,8
54,3,46,30,31,18,26,47,33,37,1
