,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,35,37,6,26,13,29,39,9,28
1,1,37,35,31,11,29,28,30,13,17
2,2,16,13,43,28,45,28,1,37,35
3,3,35,37,6,5,6,16,39,47,28
4,4,47,35,31,28,30,28,9,32,35
5,5,6,16,13,16,39,29,15,16,13
6,6,27,6,5,6,26,13,43,13,30
7,7,19,38,19,1,0,1,37,1,0
8,8,35,33,35,9,12,9,14,29,28
9,9,36,29,15,29,14,29,39,9,39
10,10,29,32,9,12,9,39,47,28,1
11,11,31,28,43,35,26,39,16,39,16
12,12,29,15,47,19,7,19,7,19,9
13,13,47,13,30,28,1,35,32,9,39
14,14,9,39,26,35,27,6,5,6,27
15,15,16,39,9,14,40,24,48,24,48
16,16,39,47,24,46,24,48,19,1,13
17,17,35,21,23,48,23,47,50,47,23
18,18,35,33,35,26,35,27,35,32,9
19,19,46,35,31,35,16,2,16,28,45
20,20,35,18,35,45,28,29,23,48,24
21,21,35,26,13,29,15,16,39,16,35
22,22,35,8,35,26,35,26,13,1,28
23,23,16,23,16,32,16,15,16,39,16
24,24,46,19,48,23,29,50,47,23,48
25,25,1,28,30,28,29,13,28,31,11
26,26,35,34,35,9,36,9,14,9,36
27,27,35,37,6,26,35,32,29,12,9
28,28,29,35,31,28,44,28,31,11,9
29,29,13,30,28,31,11,9,39,16,23
30,30,28,30,13,26,39,16,39,16,39
31,31,35,30,28,47,19,1,28,47,39
32,32,29,23,48,19,7,19,7,19,1
33,33,35,27,35,37,1,0,1,28,1
34,34,35,33,35,27,6,5,6,27,6
35,35,0,19,9,36,9,39,16,32,9
36,36,29,32,35,0,1,19,46,24,47
37,37,6,27,35,17,13,43,35,22,28
38,38,19,48,23,16,23,21,23,29,36
39,39,9,36,29,10,17,10,29,24,29
40,40,24,1,24,47,4,29,13,29,32
41,41,35,37,6,5,6,27,6,5,6
42,42,35,27,6,27,6,27,6,27,6
43,43,28,13,43,13,43,35,8,35,3
44,44,28,31,35,38,19,38,19,48,24
