,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,1,28,45,28,45,35,26,6,27
1,1,19,46,24,1,19,1,28,9,39
2,2,16,32,16,39,9,39,29,39,9
3,3,35,16,23,47,50,47,24,40,14
4,4,16,49,16,28,16,39,16,13,29
5,5,6,26,35,27,6,29,36,9,32
6,6,26,13,1,25,1,28,30,28,47
7,7,19,29,50,29,19,48,19,48,24
8,8,35,1,35,31,28,31,35,26,13
9,9,39,16,4,16,6,27,35,0,1
10,10,29,39,29,39,16,23,21,23,21
11,11,9,39,9,11,9,32,29,13,43
12,12,9,32,9,12,29,32,35,29,36
13,13,16,23,21,35,31,28,47,50,29
14,14,29,36,9,12,9,11,9,36,9
15,15,29,10,17,35,42,35,26,39,29
16,16,35,43,28,31,35,31,35,37,35
17,17,13,44,13,47,35,45,28,47,35
18,18,35,26,6,27,35,20,35,21,23
19,19,46,35,9,19,7,19,9,39,16
20,20,35,45,35,32,9,39,16,35,33
21,21,35,47,23,48,23,29,36,9,11
22,22,28,31,28,30,28,13,43,13,16
23,23,47,19,47,39,47,19,9,12,9
24,24,48,23,48,23,16,32,29,23,16
25,25,1,28,9,36,29,23,48,24,1
26,26,13,1,37,35,33,35,32,35,21
27,27,6,27,6,5,6,27,6,5,6
28,28,1,28,1,28,43,35,26,35,31
29,29,39,9,19,9,36,9,12,29,39
30,30,28,31,35,37,6,29,39,9,39
31,31,35,16,32,16,39,26,6,16,35
32,32,16,39,16,13,44,28,1,28,29
33,33,35,0,1,35,44,13,26,35,46
34,34,35,0,35,8,35,30,28,30,35
35,35,31,28,1,28,1,0,35,41,35
36,36,29,24,29,32,29,4,16,49,47
37,37,35,33,35,26,6,27,6,26,35
38,38,19,29,10,17,10,29,10,29,19
39,39,16,32,9,39,16,49,47,28,44
40,40,14,9,32,16,23,47,13,1,37
41,41,35,27,6,27,6,27,35,20,35
42,42,35,22,28,29,39,16,35,3,35
43,43,35,0,1,0,1,0,35,33,35
44,44,28,1,35,30,13,29,35,26,35
45,45,35,37,6,5,6,27,35,32,9
46,46,35,27,6,5,6,5,6,5,6
47,47,19,48,24,48,24,48,24,29,15
48,48,23,47,24,40,14,9,36,29,24
49,49,47,23,21,23,16,28,44,13,44
50,50,47,13,43,28,1,0,35,9,12
51,0,1,19,48,19,1,0,1,28,30
52,1,19,47,4,29,4,29,4,29,6
53,2,16,35,27,6,5,6,26,39,9
54,3,35,37,1,35,37,1,0,1,28
55,4,29,39,9,39,9,12,9,14,9
56,5,6,5,6,16,39,29,6,27,6
57,6,5,6,37,35,34,35,26,13,47
58,7,19,38,19,48,19,48,19,29,24
59,8,35,45,35,16,2,16,39,16,4
60,9,36,29,24,48,19,1,37,35,18
61,10,17,10,17,10,29,23,47,28,13
62,11,29,32,35,29,36,29,14,29,12
63,12,29,32,9,32,9,39,16,35,46
64,13,44,13,26,35,26,39,16,32,16
65,14,40,24,40,14,9,32,9,11,9
66,15,16,4,47,24,40,14,40,24,46
67,16,32,35,0,1,35,1,13,26,35
68,17,10,29,11,31,11,29,11,9,39
69,18,35,41,35,17,10,29,49,29,15
70,19,29,50,29,4,16,49,16,49,47
71,20,35,43,35,43,13,28,1,25,1
72,21,35,46,24,46,19,0,1,37,35
73,22,28,44,28,30,28,47,23,47,13
74,23,21,35,42,35,45,28,13,16,32
75,24,1,25,1,13,43,28,13,16,50
76,25,1,19,9,35,32,16,13,28,45
77,26,6,29,36,9,28,30,28,1,0
78,27,35,27,35,37,35,3,35,31,35
79,28,22,35,9,11,9,32,35,26,6
80,29,10,29,4,16,32,16,6,27,35
81,30,35,21,35,41,35,29,24,48,23
82,31,35,22,28,47,50,29,10,29,28
83,32,16,32,9,32,29,39,16,39,9
84,33,35,9,36,9,32,16,28,30,28
85,34,35,37,6,37,1,25,1,25,1
86,35,17,10,29,4,47,15,29,36,29
87,36,9,36,29,36,29,39,9,32,29
88,37,35,17,35,22,35,3,35,26,35
89,38,35,18,35,44,13,17,10,29,14
90,39,9,12,9,32,16,6,27,6,16
91,40,14,9,39,16,15,16,2,16,23
92,41,35,31,35,37,6,37,6,5,6
93,42,35,45,35,32,16,23,29,39,47
94,43,13,43,35,3,35,16,32,9,28
95,44,35,42,35,37,6,16,15,16,32
96,45,28,30,35,47,49,16,32,9,11
97,46,19,46,19,48,19,48,24,48,19
98,47,23,48,24,1,0,1,13,28,29
99,48,24,40,24,46,35,18,35,33,35
100,49,16,2,16,32,9,32,29,39,16
101,50,47,35,1,13,17,35,18,35,33
102,0,19,46,35,26,35,42,35,32,16
103,1,13,1,19,38,35,43,28,30,28
104,2,16,49,29,32,16,32,16,6,27
105,3,35,42,35,29,28,29,28,1,28
106,4,16,4,29,15,29,35,30,35,43
107,5,6,26,6,37,1,37,6,27,6
108,6,29,32,9,35,31,35,47,50,16
109,7,19,46,19,0,19,0,35,22,28
110,8,35,47,23,16,49,29,15,16,28
