,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,9,18,9,48,47,1,9,29,26
1,1,17,27,37,31,26,45,22,9,3
2,2,6,50,32,35,6,50,15,13,14
3,3,37,27,0,46,29,9,29,9,3
4,4,39,13,32,3,9,42,21,37,18
5,5,27,26,33,35,33,22,13,24,13
6,6,32,6,23,13,45,37,16,35,49
7,7,48,29,13,28,37,0,19,28,36
8,8,27,37,42,33,31,1,31,33,35
9,9,1,31,16,47,32,8,31,0,13
10,10,23,13,4,11,39,13,15,23,35
11,11,35,49,23,39,28,35,1,3,44
12,12,32,28,0,25,28,4,19,35,28
13,13,31,29,18,32,36,15,50,39,32
14,14,24,19,36,28,13,39,11,32,13
15,15,2,28,15,28,23,15,39,19,39
16,16,47,8,21,42,16,29,47,38,48
17,17,42,26,1,30,1,13,4,35,6
18,18,33,26,27,32,1,26,33,30,43
19,19,12,19,24,19,13,23,35,16,33
20,20,17,26,44,28,39,4,23,39,32
21,21,26,46,33,27,1,31,8,30,43
22,22,30,28,32,39,13,35,32,23,32
23,23,50,39,12,36,11,36,50,24,4
24,24,19,11,36,12,35,9,30,47,30
25,25,28,36,39,28,0,19,24,12,36
26,26,32,49,15,39,32,4,13,6,35
27,27,32,16,27,0,44,16,30,37,27
28,28,35,13,35,13,39,35,19,36,11
29,29,9,16,5,16,29,16,47,48,1
30,30,37,43,45,33,38,29,30,37,47
31,31,33,0,47,26,33,27,31,29,27
32,32,23,39,32,39,6,35,28,50,49
33,33,0,18,33,41,18,22,43,33,22
34,34,42,0,38,31,33,29,43,13,31
35,35,1,48,38,37,9,46,48,7,29
36,36,35,2,50,39,35,13,30,33,9
37,37,19,24,23,36,28,35,23,32,9
38,38,26,42,46,42,0,19,50,39,50
39,39,11,28,39,12,11,35,13,35,13
40,40,46,17,9,30,28,2,13,50,23
41,41,37,21,26,22,32,36,35,50,15
42,42,9,26,29,21,41,44,21,29,1
43,43,42,43,45,29,16,29,16,9,43
44,44,31,43,47,16,47,1,37,45,32
45,45,21,31,33,35,16,47,21,27,1
46,46,21,16,29,47,34,9,44,30,44
47,47,16,9,0,37,3,33,44,17,29
48,48,16,26,44,33,20,33,16,9,41
49,49,32,46,21,32,39,32,33,26,41
50,50,39,36,39,11,19,11,39,19,32
51,0,43,47,3,27,46,20,16,43,30
52,1,48,29,1,26,33,21,46,44,30
53,2,32,13,16,29,1,17,27,26,5
54,3,46,7,46,20,33,20,8,31,9
55,4,36,39,6,35,4,36,28,36,12
56,5,26,44,8,42,16,13,19,23,15
57,6,28,13,24,4,49,39,32,39,36
58,7,1,44,13,16,29,1,17,33,26
59,8,32,35,13,50,15,13,28,50,19
60,9,47,16,26,33,32,39,50,32,13
61,10,49,32,28,25,28,39,49,50,49
62,11,14,39,13,29,16,48,9,17,46
63,12,11,39,32,23,50,49,39,19,39
64,13,50,49,2,15,19,32,18,44,32
65,14,36,19,36,11,28,39,35,28,36
66,15,35,28,0,26,16,30,43,1,35
67,16,29,16,9,16,9,16,43,1,16
68,17,47,29,47,1,33,21,43,0,38
69,18,33,42,37,33,32,36,50,36,39
70,19,37,46,21,44,27,32,14,39,19
71,20,31,16,29,16,21,33,42,32,46
72,21,16,35,4,32,6,35,49,35,50
73,22,1,44,9,47,48,38,37,31,37
74,23,49,4,49,28,35,33,32,44,30
75,24,23,39,49,15,10,13,32,49,13
76,25,19,15,32,42,31,29,9,31,30
77,26,1,40,47,22,29,9,29,30,26
78,27,33,41,33,3,30,13,49,4,50
79,28,11,39,32,29,9,22,38,0,30
80,29,30,47,30,1,9,29,18,32,13
81,30,31,0,1,32,4,39,36,12,36
82,31,30,22,41,20,41,27,37,19,23
83,32,3,22,0,32,14,19,35,33,29
84,33,43,47,31,16,30,9,1,27,47
85,34,37,33,35,39,15,6,32,50,32
86,35,1,38,0,25,13,28,50,23,4
87,36,39,36,39,35,39,19,28,35,13
88,37,8,30,21,8,47,16,47,31,30
89,38,0,28,15,28,35,23,50,19,24
90,39,13,24,19,4,28,23,39,49,50
91,40,46,31,17,31,45,31,3,38,7
92,41,31,8,21,38,48,46,47,44,42
93,42,26,47,45,33,3,29,9,30,31
94,43,33,32,39,32,12,39,23,6,4
95,44,42,41,34,42,38,26,34,16,9
96,45,31,21,41,21,37,43,33,32,39
97,46,22,43,45,26,47,33,1,29,44
98,47,26,33,37,27,5,29,16,35,50
99,48,9,47,41,20,33,26,16,9,1
100,49,6,12,36,11,36,23,32,24,19
101,50,15,39,32,11,39,15,11,12,28
102,0,47,9,0,46,47,1,30,22,1
103,1,3,26,42,0,7,38,29,1,29
104,2,50,6,35,1,37,33,21,43,33
105,3,31,42,43,17,26,27,18,41,26
106,4,13,1,31,47,30,22,8,37,21
107,5,27,18,27,41,26,1,26,27,5
108,6,50,36,4,12,6,28,36,32,26
109,7,48,9,30,16,29,17,31,30,29
110,8,31,8,0,37,29,18,17,42,22
111,9,16,9,35,32,39,11,12,13,31
112,10,6,13,19,6,32,12,28,39,19
113,11,19,36,11,12,11,14,11,36,13
114,12,36,32,9,30,16,9,1,9,0
115,13,44,17,1,26,22,46,48,47,16
116,14,19,28,19,37,8,46,9,0,22
117,15,28,39,35,19,25,35,6,35,28
118,16,29,31,46,33,41,9,29,35,32
119,17,31,9,26,27,33,21,22,42,1
120,18,0,19,12,36,23,24,0,13,4
121,19,4,23,35,39,49,39,2,39,19
122,20,29,3,34,17,9,16,9,16,26
123,21,26,21,30,26,29,21,34,46,20
124,22,26,33,17,16,1,31,30,47,31
125,23,39,19,49,15,32,39,35,32,39
126,24,49,13,50,49,23,15,32,35,50
127,25,28,39,23,39,6,13,28,15,32
128,26,1,29,16,9,20,26,31,1,30
129,27,43,30,18,26,46,1,0,22,29
130,28,39,11,28,35,11,39,28,24,39
131,29,38,22,45,30,34,31,47,7,1
132,30,27,22,30,16,47,3,27,30,44
133,31,45,37,1,16,35,13,43,33,44
134,32,26,30,47,31,9,16,47,29,30
135,33,34,27,31,22,32,46,47,1,43
136,34,22,30,26,38,46,41,17,31,30
137,35,0,32,6,19,15,50,39,36,39
138,36,15,6,35,19,28,11,32,23,13
139,37,28,35,32,43,9,29,16,47,16
140,38,18,0,26,31,43,41,43,22,31
141,39,35,39,23,28,6,32,4,49,4
142,40,47,31,43,9,48,38,48,1,16
143,41,42,17,33,37,33,44,47,37,34
144,42,37,25,19,50,39,2,13,30,13
145,43,18,26,1,16,0,46,47,16,32
146,44,47,30,33,46,48,0,9,38,26
147,45,1,0,45,29,26,16,29,26,38
148,46,3,26,32,2,35,13,2,35,6
149,47,34,31,37,3,34,31,1,46,32
150,48,38,33,44,30,22,43,45,18,43
151,49,39,14,23,49,13,0,28,2,50
152,50,49,19,12,14,39,32,36,10,14
153,0,19,36,32,23,4,32,28,23,32
154,1,35,32,36,6,15,36,28,35,39
155,2,39,13,45,29,31,13,14,28,19
156,3,9,31,1,29,31,8,41,43,9
157,4,23,39,36,11,6,28,23,28,23
158,5,29,43,30,43,45,26,43,29,48
159,6,13,19,14,32,12,36,12,39,4
160,7,48,16,47,1,30,29,45,13,2
161,8,45,21,33,32,39,13,30,31,9
162,9,1,8,22,30,33,41,26,20,30
163,10,4,11,19,50,12,13,12,19,28
164,11,36,23,49,12,11,39,11,28,35
165,12,14,13,35,13,50,11,35,1,30
166,13,39,14,39,28,36,35,6,13,2
