,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,1,19,29,19,9,39,16,39,16
1,1,19,1,13,1,0,35,33,35,3
2,2,16,32,29,24,48,19,1,19,48
3,3,35,33,35,30,35,17,10,29,13
4,4,47,23,47,50,16,50,29,32,16
5,5,6,5,6,27,35,16,32,16,35
6,6,27,6,16,32,16,49,16,4,29
7,7,19,47,23,29,39,9,32,9,39
8,8,35,31,11,29,12,9,12,9,39
9,9,32,29,32,9,11,9,32,35,30
10,10,29,28,9,39,26,6,5,6,27
11,11,29,19,1,19,38,19,48,23,21
12,12,9,14,29,32,9,32,16,23,47
13,13,29,36,9,12,9,28,31,35,47
14,14,9,36,29,15,16,4,16,4,29
15,15,29,35,31,11,9,39,16,13,16
16,16,39,29,35,22,28,1,0,1,28
17,17,10,29,32,9,39,16,35,43,28
18,18,35,30,28,29,28,44,35,31,35
19,19,0,1,35,32,35,27,6,27,6
20,20,35,8,35,33,35,37,6,27,6
21,21,35,37,1,19,46,19,48,23,16
22,22,35,44,13,29,6,16,50,16,39
23,23,16,49,16,39,9,35,1,19,1
24,24,40,14,29,6,27,6,16,39,9
25,25,1,0,1,0,35,41,35,45,35
26,26,6,5,6,37,35,27,35,41,35
27,27,6,29,6,27,6,27,6,16,32
28,28,29,35,37,35,45,35,17,35,26
29,29,23,48,19,38,35,37,6,16,32
30,30,13,44,28,30,28,1,28,29,39
31,31,28,1,13,43,35,37,6,27,6
32,32,16,39,29,28,9,19,29,19,38
33,33,35,46,35,17,35,32,29,28,31
34,34,35,26,39,29,10,17,10,17,35
35,35,21,35,45,28,16,32,16,39,16
36,36,29,11,29,50,16,49,29,14,40
37,37,35,32,16,15,47,50,47,35,29
38,38,35,31,35,29,12,9,32,35,0
39,39,29,28,13,26,35,1,24,40,24
40,40,14,40,14,40,14,29,35,30,28
41,41,35,1,28,30,35,43,13,47,15
42,42,35,17,13,44,28,30,28,29,15
43,43,13,26,6,27,6,37,1,24,47
44,44,35,30,28,29,19,46,24,48,23
45,45,28,1,37,1,19,46,19,48,19
46,46,35,32,35,26,35,31,35,41,35
47,47,50,29,39,9,36,9,12,29,49
48,48,19,1,25,1,35,26,13,44,28
49,49,29,14,9,32,9,39,16,23,47
50,50,47,15,16,28,30,28,43,28,9
51,0,19,9,12,9,19,29,28,1,19
52,1,28,30,28,31,28,1,37,35,3
53,2,16,15,16,4,29,14,29,28,1
54,3,35,17,13,28,1,19,9,35,30
55,4,47,28,45,28,30,35,31,35,16
56,5,6,26,35,33,35,46,24,48,19
57,6,5,6,16,23,29,24,48,19,38
58,7,19,0,1,28,30,28,47,50,47
59,8,35,32,16,28,30,35,47,13,29
60,9,32,9,28,9,39,16,50,29,32
61,10,29,28,47,50,47,23,47,39,26
62,11,31,28,13,29,36,9,19,29,4
63,12,9,39,26,13,44,28,45,35,20
64,13,26,35,31,35,45,35,41,35,31
65,14,40,24,40,24,29,12,29,36,9
66,15,29,32,9,39,47,23,29,13,44
67,16,32,35,43,13,47,28,47,35,0
68,17,10,17,13,28,9,39,26,35,33
69,18,35,26,35,45,35,27,6,5,6
70,19,38,19,29,50,16,32,16,39,29
71,20,35,29,39,16,39,16,32,16,39
72,21,35,20,35,34,35,31,35,34,35
