,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,19,48,19,0,35,26,13,47,15
1,1,13,47,49,16,39,16,32,9,11
2,2,16,28,1,28,1,28,44,35,38
3,3,35,45,35,41,35,33,35,17,10
4,4,47,23,47,28,1,19,47,35,44
5,5,6,5,6,27,6,16,6,37,35
6,6,37,1,35,30,28,30,35,30,28
7,7,19,7,19,48,19,46,19,1,25
8,8,35,3,35,37,1,28,13,43,13
9,9,35,43,28,13,47,49,47,13,29
10,10,29,11,9,11,9,36,29,13,30
11,11,31,28,45,28,30,35,33,35,21
12,12,9,11,29,15,29,11,29,13,47
13,13,26,35,37,35,41,35,27,35,41
14,14,9,39,16,28,31,11,9,19,9
15,15,16,39,16,23,47,23,47,23,47
16,16,32,29,24,48,24,1,13,28,1
17,17,35,33,35,20,35,27,35,26,35
18,18,35,1,25,1,0,1,35,32,16
19,19,9,14,9,32,29,15,29,49,47
20,20,35,27,6,27,6,26,35,0,35
21,21,23,16,50,47,24,1,28,45,28
22,22,28,16,13,26,35,17,10,17,35
23,23,16,6,37,35,1,35,27,6,27
24,24,47,28,1,0,1,0,1,19,48
25,25,1,24,40,24,48,23,16,4,47
26,26,35,21,23,16,49,16,49,47,35
27,27,35,38,19,46,24,48,19,38,35
28,28,30,35,18,35,30,28,45,35,3
29,29,19,1,28,30,28,29,49,29,14
30,30,13,30,28,44,13,26,13,30,28
31,31,28,29,39,47,28,29,6,26,35
32,32,16,32,16,49,47,28,13,1,28
33,33,35,43,28,44,13,30,28,13,28
34,34,35,26,39,16,4,47,50,29,39
35,35,34,35,37,1,28,13,47,49,47
36,36,9,36,9,36,29,39,9,39,29
37,37,35,29,39,9,32,35,33,35,38
38,38,19,9,39,29,15,29,36,9,36
39,39,9,12,29,10,17,13,16,28,1
40,40,14,40,14,29,13,47,39,16,15
41,41,35,43,35,44,35,26,39,9,36
42,42,35,26,13,44,35,8,35,22,28
43,43,28,1,0,1,24,48,19,9,12
44,44,28,30,28,13,1,35,37,35,9
45,45,35,31,11,31,35,34,35,26,35
46,46,24,29,35,46,35,8,35,31,28
47,47,35,45,28,30,28,1,13,47,13
48,48,19,47,13,43,28,43,35,18,35
49,49,47,49,47,28,47,39,9,14,40
50,50,47,23,21,23,48,23,16,35,46
51,0,1,28,31,28,1,13,26,35,16
52,1,24,1,19,9,28,1,28,31,28
53,2,16,32,16,32,35,30,35,22,28
54,3,35,29,14,29,24,48,23,16,23
55,4,16,39,29,32,16,35,38,19,47
56,5,6,27,35,33,35,30,35,27,6
57,6,37,1,13,28,9,32,29,12,9
58,7,19,47,49,47,13,29,36,29,36
59,8,35,18,35,1,13,44,28,1,0
60,9,36,29,11,9,36,9,36,29,15
61,10,29,12,9,36,29,39,16,13,16
62,11,9,36,9,36,9,32,35,32,35
63,12,9,12,9,11,9,39,9,35,21
64,13,28,30,28,30,28,30,28,31,35
65,14,9,11,31,35,44,13,17,10,17
66,15,29,36,9,14,9,28,44,28,1
67,16,39,9,39,9,19,38,19,1,13
68,17,13,1,28,45,35,37,1,35,32
69,18,35,37,1,25,1,28,30,35,34
70,19,47,23,21,35,18,35,42,35,20
71,20,35,31,35,33,35,47,35,43,35
72,21,35,27,6,29,50,29,13,16,32
73,22,35,42,35,27,6,5,6,5,6
74,23,16,32,9,39,47,15,16,39,16
75,24,29,24,48,24,29,35,21,23,47
76,25,1,0,35,20,35,31,35,17,35
77,26,35,33,35,18,35,20,35,9,35
78,27,6,27,35,43,13,44,28,1,0
79,28,44,13,29,32,16,15,29,36,9
80,29,49,47,50,16,39,26,35,31,28
81,30,35,3,35,47,49,47,19,7,19
82,31,35,38,35,37,35,26,39,29,13
