,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,46,1,20,17,26,1,45,33,44
1,1,31,22,45,33,47,1,29,47,29
2,2,6,39,15,39,35,24,39,32,21
3,3,31,44,33,31,37,25,13,32,10
4,4,49,14,39,12,19,32,6,36,12
5,5,27,33,1,20,17,31,20,17,43
6,6,35,13,28,32,39,10,39,12,19
7,7,48,29,28,29,47,1,42,8,26
8,8,0,25,19,24,6,28,36,32,36
9,9,33,30,16,32,30,29,5,16,29
10,10,24,0,35,11,19,37,17,1,47
11,11,36,12,14,39,23,50,32,39,49
12,12,36,12,39,13,28,39,19,28,49
13,13,24,37,0,37,26,47,32,6,35
14,14,50,19,35,16,17,29,40,48,9
15,15,50,19,36,32,4,32,10,19,15
16,16,33,27,41,16,33,0,33,8,3
17,17,26,16,9,16,30,43,37,29,45
18,18,26,41,8,32,11,39,35,50,32
19,19,4,11,4,13,35,16,30,21,26
20,20,42,38,32,39,10,11,36,39,14
21,21,32,11,36,28,23,49,15,2,32
22,22,33,27,5,27,33,26,37,19,13
23,23,50,19,32,34,27,9,29,47,22
24,24,23,6,32,45,13,49,15,39,6
25,25,24,19,14,28,36,39,35,28,35
26,26,33,32,35,49,35,23,4,19,13
27,27,41,30,31,9,16,31,22,31,32
28,28,39,32,31,38,32,23,35,6,35
29,29,9,16,29,47,31,41,33,37,31
30,30,43,32,39,28,35,19,24,10,32
31,31,9,43,29,47,48,0,1,35,39
32,32,39,14,12,36,49,50,23,32,44
33,33,37,27,29,35,11,35,28,35,28
34,34,32,27,38,30,47,43,33,31,1
35,35,13,23,13,1,33,22,30,29,0
36,36,39,35,33,21,37,31,30,22,34
37,37,32,4,39,32,49,24,19,39,32
38,38,1,22,1,38,9,26,38,3,33
39,39,14,32,11,19,11,12,23,10,28
40,40,46,33,31,26,22,44,9,35,12
41,41,21,42,30,9,8,44,27,5,37
42,42,0,46,31,43,33,32,26,38,47
43,43,47,38,31,47,38,44,28,19,39
44,44,34,33,42,21,1,29,16,47,17
45,45,13,19,13,35,39,32,39,11,35
46,46,30,46,26,37,27,38,7,46,42
47,47,48,29,9,46,17,26,32,49,23
48,48,16,26,30,44,43,29,16,29,48
49,49,4,50,49,15,6,35,49,50,2
50,50,15,2,50,28,23,39,24,39,35
51,0,19,39,12,35,28,36,19,24,19
52,1,29,30,1,33,8,33,32,19,36
53,2,6,50,49,13,35,9,29,31,16
54,3,26,21,44,27,20,21,31,46,47
55,4,50,23,49,32,16,47,16,1,26
56,5,27,31,30,29,9,33,26,0,19
57,6,35,39,32,28,49,13,23,13,49
58,7,9,8,41,8,42,33,8,33,31
59,8,26,22,44,1,33,21,33,1,30
60,9,38,22,1,47,34,32,26,16,31
61,10,35,10,19,32,23,19,28,32,50
62,11,36,11,19,12,32,35,12,32,10
63,12,35,1,22,29,47,29,16,47,9
64,13,19,32,30,22,47,21,30,28,13
65,14,50,35,28,35,28,6,49,19,23
66,15,50,39,13,49,35,28,37,17,31
67,16,9,16,18,34,33,47,30,31,32
68,17,30,29,16,30,31,8,33,34,32
69,18,26,32,19,0,44,29,32,39,19
70,19,36,32,19,50,23,32,13,28,13
